Date,Price,Open,High,Low,Change %,
9-Mar-10,1.0942,1.0996,1.1045,1.0929,-0.62%,3/9/2010
8-Mar-10,1.101,1.0993,1.1012,1.101,-0.09%,3/8/2010
5-Mar-10,1.102,1.1115,1.1117,1.0999,-0.87%,3/5/2010
4-Mar-10,1.1117,1.1057,1.1136,1.1049,0.60%,3/4/2010
3-Mar-10,1.1051,1.105,1.1095,1.1009,-0.05%,3/3/2010
2-Mar-10,1.1057,1.1112,1.1149,1.1042,-0.41%,3/2/2010
1-Mar-10,1.1103,1.1125,1.1182,1.1093,-0.52%,3/1/2010
26-Feb-10,1.1161,1.1275,1.1275,1.1144,-1.02%,2/26/2010
25-Feb-10,1.1276,1.1179,1.1359,1.1175,0.85%,2/25/2010
24-Feb-10,1.1181,1.1208,1.1282,1.117,-0.21%,2/24/2010
23-Feb-10,1.1204,1.1103,1.1259,1.1027,0.86%,2/23/2010
22-Feb-10,1.1109,1.1109,1.1138,1.1084,-0.16%,2/22/2010
19-Feb-10,1.1127,1.1236,1.1263,1.1124,-1.03%,2/19/2010
18-Feb-10,1.1243,1.1125,1.1243,1.108,1.02%,2/18/2010
17-Feb-10,1.113,1.1094,1.114,1.1069,0.30%,2/17/2010
16-Feb-10,1.1097,1.1255,1.1256,1.108,-1.30%,2/16/2010
15-Feb-10,1.1243,1.1263,1.1297,1.1225,-0.04%,2/15/2010
12-Feb-10,1.1247,1.1232,1.1378,1.122,0.13%,2/12/2010
11-Feb-10,1.1232,1.14,1.1401,1.1214,-1.52%,2/11/2010
10-Feb-10,1.1405,1.14,1.1478,1.1375,0.05%,2/10/2010
9-Feb-10,1.1399,1.158,1.1582,1.1372,-1.54%,2/9/2010
8-Feb-10,1.1577,1.1553,1.1603,1.1486,0.52%,2/8/2010
5-Feb-10,1.1517,1.1516,1.1649,1.149,-0.03%,2/5/2010
4-Feb-10,1.1521,1.1337,1.1589,1.1333,1.63%,2/4/2010
3-Feb-10,1.1336,1.1271,1.1353,1.1218,0.57%,2/3/2010
2-Feb-10,1.1272,1.1224,1.1384,1.1203,0.52%,2/2/2010
1-Feb-10,1.1214,1.1291,1.1377,1.1208,-0.92%,2/1/2010
29-Jan-10,1.1318,1.1193,1.1318,1.1161,1.12%,1/29/2010
28-Jan-10,1.1193,1.1159,1.1217,1.1055,0.30%,1/28/2010
27-Jan-10,1.1159,1.1111,1.1218,1.1055,0.43%,1/27/2010
26-Jan-10,1.1111,1.1053,1.1185,1.1012,0.53%,1/26/2010
25-Jan-10,1.1052,1.1065,1.1084,1.0998,-0.44%,1/25/2010
22-Jan-10,1.1101,1.1057,1.1128,1.1,0.40%,1/22/2010
21-Jan-10,1.1057,1.0974,1.1118,1.0934,0.77%,1/21/2010
20-Jan-10,1.0973,1.084,1.1021,1.0824,1.23%,1/20/2010
19-Jan-10,1.084,1.0789,1.0895,1.0783,0.51%,1/19/2010
18-Jan-10,1.0785,1.0846,1.0896,1.0779,-0.50%,1/18/2010
15-Jan-10,1.0839,1.074,1.0851,1.0738,0.94%,1/15/2010
14-Jan-10,1.0738,1.0822,1.0822,1.0722,-0.78%,1/14/2010
13-Jan-10,1.0822,1.0865,1.0881,1.0792,-0.40%,1/13/2010
12-Jan-10,1.0865,1.0757,1.0904,1.0746,1.00%,1/12/2010
11-Jan-10,1.0757,1.0744,1.0772,1.0725,-0.54%,1/11/2010
8-Jan-10,1.0815,1.0898,1.0956,1.0809,-0.76%,1/8/2010
7-Jan-10,1.0898,1.0869,1.0915,1.0798,0.29%,1/7/2010
6-Jan-10,1.0866,1.0968,1.0984,1.085,-0.94%,1/6/2010
5-Jan-10,1.0969,1.0957,1.0998,1.0902,0.07%,1/5/2010
4-Jan-10,1.0961,1.1145,1.1185,1.0945,-1.61%,1/4/2010
1-Jan-10,1.114,1.1136,1.114,1.1135,0.04%,1/1/2010
31-Dec-09,1.1136,1.1181,1.1198,1.11,-0.41%,12/31/2009
30-Dec-09,1.1182,1.1192,1.1234,1.1162,-0.09%,12/30/2009
29-Dec-09,1.1192,1.1279,1.1284,1.1121,-0.76%,12/29/2009
28-Dec-09,1.1278,1.1308,1.1327,1.1247,-0.19%,12/28/2009
25-Dec-09,1.13,1.1309,1.1333,1.1289,-0.25%,12/25/2009
24-Dec-09,1.1328,1.1366,1.1367,1.1289,-0.35%,12/24/2009
23-Dec-09,1.1368,1.1407,1.1445,1.1342,-0.38%,12/23/2009
22-Dec-09,1.1411,1.1357,1.1437,1.1325,0.47%,12/22/2009
21-Dec-09,1.1358,1.1248,1.1384,1.1231,1.15%,12/21/2009
18-Dec-09,1.1229,1.13,1.1323,1.1216,-0.58%,12/18/2009
17-Dec-09,1.1294,1.112,1.1348,1.1107,1.56%,12/17/2009
16-Dec-09,1.112,1.1038,1.1164,1.1036,0.79%,12/16/2009
